[309.03090309],[-1.55406176]
[306.03060306],[-1.50055456]
[303.03030303],[-1.44827325]
[300.030003],[-1.39744389]
[297.02970297],[-1.34959207]
[294.02940294],[-1.30538111]
[291.02910291],[-1.26310241]
[288.02880288],[-1.22128157]
[285.02850285],[-1.17882408]
[282.02820282],[-1.13585623]
[279.02790279],[-1.09404547]
[276.02760276],[-1.05442805]
[273.02730273],[-1.01695477]
[270.0270027],[-0.98061948]
[267.02670267],[-0.94391899]
[264.02640264],[-0.90647163]
[261.02610261],[-0.86910721]
[258.02580258],[-0.83303432]
[255.02550255],[-0.79910627]
[252.02520252],[-0.7669591]
[249.02490249],[-0.73540992]
[246.02460246],[-0.70355397]
[243.02430243],[-0.6713396]
[240.0240024],[-0.63966492]
[237.02370237],[-0.60960877]
[234.02340234],[-0.58149675]
[231.02310231],[-0.55476215]
[228.02280228],[-0.52839114]
[225.02250225],[-0.50175186]
[222.02220222],[-0.47512328]
[219.02190219],[-0.44936068]
[216.02160216],[-0.42520386]
[213.02130213],[-0.40270172]
[210.0210021],[-0.38116494]
[207.02070207],[-0.35977975]
[204.02040204],[-0.33824714]
[201.02010201],[-0.31696685]
[198.01980198],[-0.29669012]
[195.01950195],[-0.27787799]
[192.01920192],[-0.26034679]
[189.01890189],[-0.24345022]
[186.01860186],[-0.22659706]
[183.01830183],[-0.2097189]
[180.0180018],[-0.19327787]
[177.01770177],[-0.17784963]
[174.01740174],[-0.16366428]
[171.01710171],[-0.15043048]
[168.01680168],[-0.1375899]
[165.01650165],[-0.12477502]
[162.01620162],[-0.11206974]
[159.01590159],[-0.09990487]
[156.01560156],[-0.08868738]
[153.01530153],[-0.07846988]
[150.0150015],[-0.06893098]
[147.01470147],[-0.05964548]
[144.01440144],[-0.05041796]
[141.01410141],[-0.0414129]
[138.01380138],[-0.03298476]
[135.01350135],[-0.02537899]
[132.01320132],[-0.01854234]
[129.01290129],[-0.01217852]
[126.01260126],[-0.00599556]
[123.01230123],[7.4713114e-05]
[120.0120012],[0.00585324]
[117.01170117],[0.01108204]
[114.01140114],[0.01564174]
[111.01110111],[0.01963873]
[108.01080108],[0.02330727]
[105.01050105],[0.02682376]
[102.01020102],[0.03018234]
[99.00990099],[0.03322717]
[96.00960096],[0.03579821]
[93.00930093],[0.03786199]
[90.0090009],[0.03953185]
[87.00870087],[0.04097084]
[84.00840084],[0.04226678]
[81.00810081],[0.04338292]
[78.00780078],[0.04420968]
[75.00750075],[0.04466645]
[72.00720072],[0.04476807]
[69.00690069],[0.0446068]
[66.00660066],[0.04427843]
[63.00630063],[0.04381617]
[60.0060006],[0.04318239]
[57.00570057],[0.04231772]
[54.00540054],[0.04119754]
[51.00510051],[0.03985214]
[48.00480048],[0.03834164]
[45.00450045],[0.03671128]
[42.00420042],[0.03496803]
[39.00390039],[0.03309141]
[36.00360036],[0.0310627]
[33.00330033],[0.02888704]
[30.0030003],[0.02659096]
[27.00270027],[0.02420365]
[24.00240024],[0.02174188]
[21.00210021],[0.0192081]
[18.00180018],[0.01660133]
[15.00150015],[0.01392743]
[12.00120012],[0.01119943]
[9.00090009],[0.00843238]
[6.00060006],[0.0056379]
[3.00030003],[0.00282415]
