[103.33333333],[-0.18741031]
[102.5],[-0.17292731]
[101.66666667],[-0.15970722]
[100.83333333],[-0.14764522]
[100.],[-0.13664716]
[99.16666667],[-0.1265779]
[98.33333333],[-0.1172438]
[97.5],[-0.10843945]
[96.66666667],[-0.10011437]
[95.83333333],[-0.09220161]
[95.],[-0.08466481]
[94.16666667],[-0.07739315]
[93.33333333],[-0.07027573]
[92.5],[-0.06327255]
[91.66666667],[-0.05633361]
[90.83333333],[-0.04946361]
[90.],[-0.04260148]
[89.16666667],[-0.03571405]
[88.33333333],[-0.02878682]
[87.5],[-0.02181685]
[86.66666667],[-0.01484646]
[85.83333333],[-0.00787016]
[85.],[-0.00091881]
[84.16666667],[0.00599317]
[83.33333333],[0.0128282]
[82.5],[0.01953312]
[81.66666667],[0.02608649]
[80.83333333],[0.03244352]
[80.],[0.03859428]
[79.16666667],[0.04450539]
[78.33333333],[0.05015512]
[77.5],[0.05553673]
[76.66666667],[0.06063721]
[75.83333333],[0.06547601]
[75.],[0.07005122]
[74.16666667],[0.07438186]
[73.33333333],[0.07848305]
[72.5],[0.08237214]
[71.66666667],[0.08608153]
[70.83333333],[0.0896237]
[70.],[0.09302614]
[69.16666667],[0.09629853]
[68.33333333],[0.09945526]
[67.5],[0.1025091]
[66.66666667],[0.10545897]
[65.83333333],[0.10831148]
[65.],[0.11105459]
[64.16666667],[0.11368468]
[63.33333333],[0.11619087]
[62.5],[0.11856016]
[61.66666667],[0.12078454]
[60.83333333],[0.12284632]
[60.],[0.12473972]
[59.16666667],[0.12645361]
[58.33333333],[0.12798417]
[57.5],[0.12933071]
[56.66666667],[0.13049106]
[55.83333333],[0.13147306]
[55.],[0.13228062]
[54.16666667],[0.13292615]
[53.33333333],[0.13342067]
[52.5],[0.13377574]
[51.66666667],[0.13400609]
[50.83333333],[0.13412154]
[50.],[0.13413602]
[49.16666667],[0.13405783]
[48.33333333],[0.13389499]
[47.5],[0.13365318]
[46.66666667],[0.13333376]
[45.83333333],[0.13293912]
[45.],[0.13246632]
[44.16666667],[0.13191321]
[43.33333333],[0.13127494]
[42.5],[0.13054584]
[41.66666667],[0.12972152]
[40.83333333],[0.12879597]
[40.],[0.12776596]
[39.16666667],[0.12662766]
[38.33333333],[0.12537939]
[37.5],[0.1240212]
[36.66666667],[0.12255396]
[35.83333333],[0.12098123]
[35.],[0.11930654]
[34.16666667],[0.11753535]
[33.33333333],[0.11567346]
[32.5],[0.11372705]
[31.66666667],[0.11170287]
[30.83333333],[0.10960663]
[30.],[0.10744413]
[29.16666667],[0.10521994]
[28.33333333],[0.10293803]
[27.5],[0.10060153]
[26.66666667],[0.09821232]
[25.83333333],[0.09577177]
[25.],[0.09328018]
[24.16666667],[0.09073763]
[23.33333333],[0.08814382]
[22.5],[0.08549829]
[21.66666667],[0.08280075]
[20.83333333],[0.08005097]
[20.],[0.07724931]
[19.16666667],[0.07439653]
[18.33333333],[0.07149394]
[17.5],[0.06854336]
[16.66666667],[0.06554697]
[15.83333333],[0.06250743]
[15.],[0.05942761]
[14.16666667],[0.05631064]
[13.33333333],[0.05315961]
[12.5],[0.04997753]
[11.66666667],[0.04676725]
[10.83333333],[0.04353141]
[10.],[0.04027243]
[9.16666667],[0.03699247]
[8.33333333],[0.03369338]
[7.5],[0.03037685]
[6.66666667],[0.02704439]
[5.83333333],[0.02369752]
[5.],[0.02033773]
[4.16666667],[0.01696654]
[3.33333333],[0.01358553]
[2.5],[0.01019642]
[1.66666667],[0.00680111]
[0.83333333],[0.00340161]
