[618.06180618],[2.87226245]
[615.06150615],[2.92694389]
[612.06120612],[2.97900072]
[609.06090609],[3.02913585]
[606.06060606],[3.07965123]
[603.06030603],[3.13142223]
[600.060006],[-3.09975577]
[597.05970597],[-3.04878697]
[594.05940594],[-3.00039172]
[591.05910591],[-2.95422314]
[588.05880588],[-2.90852986]
[585.05850585],[-2.86207122]
[582.05820582],[-2.81435147]
[579.05790579],[-2.76662111]
[576.05760576],[-2.72058015]
[573.05730573],[-2.67669405]
[570.0570057],[-2.63435386]
[567.05670567],[-2.59188767]
[564.05640564],[-2.54817007]
[561.05610561],[-2.50368239]
[558.05580558],[-2.45967813]
[555.05550555],[-2.41751362]
[552.05520552],[-2.37734637]
[549.05490549],[-2.33793515]
[546.05460546],[-2.29795669]
[543.05430543],[-2.25681724]
[540.0540054],[-2.21527683]
[537.05370537],[-2.17481091]
[534.05340534],[-2.13621228]
[531.05310531],[-2.09916999]
[528.05280528],[-2.06239682]
[525.05250525],[-2.02472276]
[522.05220522],[-1.98617712]
[519.05190519],[-1.94775883]
[516.05160516],[-1.91071607]
[513.05130513],[-1.87550241]
[510.0510051],[-1.84133944]
[507.05070507],[-1.80700431]
[504.05040504],[-1.77175289]
[501.05010501],[-1.7359478]
[498.04980498],[-1.70076965]
[495.04950495],[-1.6671469]
[492.04920492],[-1.6350868]
[489.04890489],[-1.60364713]
[486.04860486],[-1.57171077]
[483.04830483],[-1.53897568]
[480.0480048],[-1.50610645]
[477.04770477],[-1.47419856]
[474.04740474],[-1.4438866]
[471.04710471],[-1.41478919]
[468.04680468],[-1.38589343]
[465.04650465],[-1.35637035]
[462.04620462],[-1.32624928]
[459.04590459],[-1.29639187]
[456.04560456],[-1.26772537]
[453.04530453],[-1.24051823]
[450.0450045],[-1.21416475]
[447.04470447],[-1.18768174]
[444.04440444],[-1.16055718]
[441.04410441],[-1.13312361]
[438.04380438],[-1.10626722]
[435.04350435],[-1.08070243]
[432.04320432],[-1.0563704]
[429.04290429],[-1.03252448]
[426.04260426],[-1.00834634]
[423.04230423],[-0.98361232]
[420.0420042],[-0.95886841]
[417.04170417],[-0.93494088]
[414.04140414],[-0.91226993]
[411.04110411],[-0.89055876]
[408.04080408],[-0.8690202]
[405.04050405],[-0.84704833]
[402.04020402],[-0.82469284]
[399.03990399],[-0.80259514]
[396.03960396],[-0.78145498]
[393.03930393],[-0.76144869]
[390.0390039],[-0.74210702]
[387.03870387],[-0.72270897]
[384.03840384],[-0.7028726]
[381.03810381],[-0.68285965]
[378.03780378],[-0.66332875]
[375.03750375],[-0.6447938]
[372.03720372],[-0.62721127]
[369.03690369],[-0.610022]
[366.03660366],[-0.59262794]
[363.03630363],[-0.5748726]
[360.0360036],[-0.55714924]
[357.03570357],[-0.5400652]
[354.03540354],[-0.52393677]
[351.03510351],[-0.50854491]
[348.03480348],[-0.49332515]
[345.03450345],[-0.47783354]
[342.03420342],[-0.46210487]
[339.03390339],[-0.4465987]
[336.03360336],[-0.43181377]
[333.03330333],[-0.41788366]
[330.0330033],[-0.40447457]
[327.03270327],[-0.39107342]
[324.03240324],[-0.37740569]
[321.03210321],[-0.36364563]
[318.03180318],[-0.350258]
[315.03150315],[-0.33760778]
[312.03120312],[-0.32567049]
[309.03090309],[-0.31406236]
