[153.06122449],[-0.59669624]
[150.06002401],[-0.55110471]
[147.05882353],[-0.5086694]
[144.05762305],[-0.46808751]
[141.05642257],[-0.42968903]
[138.05522209],[-0.39399272]
[135.05402161],[-0.36087149]
[132.05282113],[-0.32925121]
[129.05162065],[-0.29790179]
[126.05042017],[-0.26645972]
[123.04921969],[-0.23561237]
[120.04801921],[-0.2065468]
[117.04681873],[-0.18009754]
[114.04561825],[-0.15617495]
[111.04441777],[-0.13395539]
[108.04321729],[-0.11260172]
[105.04201681],[-0.09188355]
[102.04081633],[-0.07226633]
[99.03961585],[-0.05445674]
[96.03841537],[-0.03880659]
[93.03721489],[-0.02505219]
[90.03601441],[-0.01254291]
[87.03481393],[-0.00073486]
[84.03361345],[0.01045124]
[81.03241297],[0.02066911]
[78.03121248],[0.02949816]
[75.030012],[0.03679831]
[72.02881152],[0.042808]
[69.02761104],[0.04794467]
[66.02641056],[0.05249688]
[63.02521008],[0.0564601]
[60.0240096],[0.05961774]
[57.02280912],[0.06176576]
[54.02160864],[0.06289057]
[51.02040816],[0.06317444]
[48.01920768],[0.06285332]
[45.0180072],[0.0620617]
[42.01680672],[0.06078432]
[39.01560624],[0.05893014]
[36.01440576],[0.05644731]
[33.01320528],[0.05338248]
[30.0120048],[0.04985139]
[27.01080432],[0.04596448]
[24.00960384],[0.04177615]
[21.00840336],[0.03729167]
[18.00720288],[0.03251061]
[15.0060024],[0.02746068]
[12.00480192],[0.02219709]
[9.00360144],[0.01677892]
[6.00240096],[0.01125097]
[3.00120048],[0.0056464]
