[17.5],[0.06853485]
[16.66666667],[0.06554022]
[15.83333333],[0.06250239]
[15.],[0.05942424]
[14.16666667],[0.05630883]
[13.33333333],[0.05315921]
[12.5],[0.04997834]
[11.66666667],[0.0467691]
[10.83333333],[0.04353415]
[10.],[0.0402759]
[9.16666667],[0.03699648]
[8.33333333],[0.03369774]
[7.5],[0.03038134]
[6.66666667],[0.02704886]
[5.83333333],[0.02370182]
[5.],[0.02034172]
[4.16666667],[0.01697008]
[3.33333333],[0.0135885]
[2.5],[0.01019872]
[1.66666667],[0.00680267]
[0.83333333],[0.0034024]
